"A" "B"
"1" 9.53585828365266 14.3473388397257
"2" 9.88345456414593 13.4703554344293
"3" 11.5822194808883 13.6628462879065
"4" 10.1079727758463 15.4227045439963
"5" 10.0151698430034 14.0902612714253
"6" 8.72474128323037 13.8225387017475
"7" 11.9310062317798 14.5637260455314
"8" 9.03236381011207 14.4741618037661
"9" 10.286640207119 13.9232689878515
"10" 9.6312401414667 14.7267190018313
"11" 9.29281147422977 14.7102219913726
"12" 8.48712373281827 13.1238496113066
"13" 10.463525943018 14.6731891167589
"14" 11.1035939490594 12.6574977673086
"15" 12.1148171528174 13.0674980597546
"16" 8.96225749486421 13.3880109657776
"17" 9.04458796005359 12.4098719370646
"18" 9.3749383169111 12.5401706278819
"19" 8.00951801554985 15.3792557494198
"20" 8.66515622815635 13.0733361422165
