"x" "y"
"1" 9.53585828365266 "A"
"2" 9.88345456414593 "A"
"3" 11.5822194808883 "A"
"4" 10.1079727758463 "A"
"5" 10.0151698430034 "A"
"6" 8.72474128323037 "A"
"7" 11.9310062317798 "A"
"8" 9.03236381011207 "A"
"9" 10.286640207119 "A"
"10" 9.6312401414667 "A"
"11" 9.29281147422977 "A"
"12" 8.48712373281827 "A"
"13" 10.463525943018 "A"
"14" 11.1035939490594 "A"
"15" 12.1148171528174 "A"
"16" 8.96225749486421 "A"
"17" 9.04458796005359 "A"
"18" 9.3749383169111 "A"
"19" 8.00951801554985 "A"
"20" 8.66515622815635 "A"
"21" 14.3473388397257 "B"
"22" 13.4703554344293 "B"
"23" 13.6628462879065 "B"
"24" 15.4227045439963 "B"
"25" 14.0902612714253 "B"
"26" 13.8225387017475 "B"
"27" 14.5637260455314 "B"
"28" 14.4741618037661 "B"
"29" 13.9232689878515 "B"
"30" 14.7267190018313 "B"
"31" 14.7102219913726 "B"
"32" 13.1238496113066 "B"
"33" 14.6731891167589 "B"
"34" 12.6574977673086 "B"
"35" 13.0674980597546 "B"
"36" 13.3880109657776 "B"
"37" 12.4098719370646 "B"
"38" 12.5401706278819 "B"
"39" 15.3792557494198 "B"
"40" 13.0733361422165 "B"
